moisture,time_stamp
72.65,16-Jul-2022 15:15:49
73.06,16-Jul-2022 15:35:44
73.06,16-Jul-2022 15:55:39
73.06,16-Jul-2022 16:15:35
72.65,16-Jul-2022 16:35:29
73.06,16-Jul-2022 16:55:24
73.06,16-Jul-2022 17:15:19
72.65,16-Jul-2022 17:35:13
73.06,16-Jul-2022 17:55:07
72.65,16-Jul-2022 18:15:03
73.06,16-Jul-2022 18:34:58
73.06,16-Jul-2022 18:54:52
73.06,16-Jul-2022 19:14:48
73.06,16-Jul-2022 19:34:43
72.65,16-Jul-2022 19:54:37
72.65,16-Jul-2022 20:14:32
72.24,16-Jul-2022 20:34:27
72.65,16-Jul-2022 20:54:21
72.24,16-Jul-2022 21:14:17
72.24,16-Jul-2022 21:34:11
72.24,16-Jul-2022 21:54:06
72.24,16-Jul-2022 22:14:00
72.24,16-Jul-2022 22:33:54
72.24,16-Jul-2022 22:53:49
72.24,16-Jul-2022 23:13:42
72.24,16-Jul-2022 23:33:37
72.24,16-Jul-2022 23:53:31
72.24,17-Jul-2022 00:13:26
72.24,17-Jul-2022 00:33:19
71.84,17-Jul-2022 00:53:13
71.84,17-Jul-2022 01:13:08
71.84,17-Jul-2022 01:33:01
71.84,17-Jul-2022 01:52:56
71.84,17-Jul-2022 02:12:52
71.84,17-Jul-2022 02:32:46
71.84,17-Jul-2022 02:52:43
71.84,17-Jul-2022 03:12:38
71.84,17-Jul-2022 03:32:32
71.43,17-Jul-2022 03:52:26
71.43,17-Jul-2022 04:12:22
71.43,17-Jul-2022 04:32:18
71.43,17-Jul-2022 04:52:15
71.43,17-Jul-2022 05:12:09
71.43,17-Jul-2022 05:32:05
71.84,17-Jul-2022 05:52:01
71.43,17-Jul-2022 06:11:57
71.84,17-Jul-2022 06:31:55
71.43,17-Jul-2022 06:51:50
71.84,17-Jul-2022 07:11:45
71.43,17-Jul-2022 07:31:42
71.43,17-Jul-2022 07:51:37
71.43,17-Jul-2022 08:11:32
71.43,17-Jul-2022 08:31:26
71.43,17-Jul-2022 08:51:23
71.43,17-Jul-2022 09:11:17
71.43,17-Jul-2022 09:31:12
71.02,17-Jul-2022 09:51:07
71.43,17-Jul-2022 10:11:01
71.02,17-Jul-2022 10:30:58
71.02,17-Jul-2022 10:50:52
71.43,17-Jul-2022 11:30:41
71.02,17-Jul-2022 11:50:36
71.43,17-Jul-2022 12:10:32
71.43,17-Jul-2022 12:30:28
71.43,17-Jul-2022 17:09:31
71.43,17-Jul-2022 17:29:26
71.43,17-Jul-2022 17:49:19
71.43,17-Jul-2022 18:09:14
71.43,17-Jul-2022 18:49:01
71.43,17-Jul-2022 19:09:00
71.84,17-Jul-2022 19:28:57
71.43,17-Jul-2022 19:48:50
71.43,17-Jul-2022 20:08:43
71.43,17-Jul-2022 20:28:38
72.65,17-Jul-2022 20:48:30
73.06,17-Jul-2022 21:08:23
73.06,17-Jul-2022 21:28:17
73.47,17-Jul-2022 21:48:11
73.06,17-Jul-2022 22:08:06
73.06,17-Jul-2022 22:28:02
73.47,17-Jul-2022 22:47:58
73.47,17-Jul-2022 23:07:51
73.06,17-Jul-2022 23:47:44
73.06,18-Jul-2022 00:07:36
73.06,18-Jul-2022 00:27:31
72.65,18-Jul-2022 00:47:26
72.65,18-Jul-2022 01:07:21
72.65,18-Jul-2022 01:27:17
73.06,18-Jul-2022 01:47:11
72.65,18-Jul-2022 02:07:07
72.65,18-Jul-2022 02:27:02
72.65,18-Jul-2022 02:46:55
72.65,18-Jul-2022 03:06:49
72.65,18-Jul-2022 03:26:45
72.24,18-Jul-2022 03:46:38
72.24,18-Jul-2022 04:06:32
72.24,18-Jul-2022 04:46:17
72.24,18-Jul-2022 05:06:13
72.24,18-Jul-2022 05:26:09
72.24,18-Jul-2022 05:46:04
72.24,18-Jul-2022 06:05:57
71.84,18-Jul-2022 06:25:53
71.84,18-Jul-2022 06:45:47
71.84,18-Jul-2022 07:05:41
71.84,18-Jul-2022 07:25:38
72.24,18-Jul-2022 07:45:32
72.24,18-Jul-2022 08:05:27
71.84,18-Jul-2022 08:25:22
72.24,18-Jul-2022 08:45:16
71.84,18-Jul-2022 09:05:10
71.84,18-Jul-2022 09:25:07
72.24,18-Jul-2022 09:45:01
71.84,18-Jul-2022 10:04:57
74.69,18-Jul-2022 10:24:50
75.1,18-Jul-2022 10:44:44
75.1,18-Jul-2022 11:04:38
75.1,18-Jul-2022 11:24:32
74.69,18-Jul-2022 11:44:27
74.69,18-Jul-2022 12:04:25
74.29,18-Jul-2022 12:24:19
74.29,18-Jul-2022 12:44:14
