relay,time_stamp
0,13-Jul-2022 04:49:30
0,13-Jul-2022 04:54:30
0,13-Jul-2022 04:59:30
0,13-Jul-2022 05:04:30
0,13-Jul-2022 05:09:30
0,13-Jul-2022 05:14:30
0,13-Jul-2022 05:19:30
0,13-Jul-2022 05:24:30
0,13-Jul-2022 05:29:30
0,13-Jul-2022 05:34:30
0,13-Jul-2022 05:39:30
0,13-Jul-2022 05:44:30
0,13-Jul-2022 05:49:30
0,13-Jul-2022 05:54:30
0,13-Jul-2022 05:59:30
0,13-Jul-2022 06:04:30
0,13-Jul-2022 06:09:30
0,13-Jul-2022 06:14:30
0,13-Jul-2022 06:19:30
0,13-Jul-2022 06:24:30
0,13-Jul-2022 06:29:30
0,13-Jul-2022 06:34:30
0,13-Jul-2022 06:39:30
0,13-Jul-2022 06:44:30
0,13-Jul-2022 06:49:30
0,13-Jul-2022 06:54:30
0,13-Jul-2022 06:59:30
0,13-Jul-2022 07:04:30
0,13-Jul-2022 07:09:30
0,13-Jul-2022 07:14:30
0,13-Jul-2022 07:19:30
0,13-Jul-2022 07:24:30
0,13-Jul-2022 07:29:30
0,13-Jul-2022 07:34:30
0,13-Jul-2022 07:39:30
0,13-Jul-2022 07:44:30
0,13-Jul-2022 07:49:30
0,13-Jul-2022 07:59:30
0,13-Jul-2022 08:04:30
0,13-Jul-2022 08:09:30
0,13-Jul-2022 08:14:30
0,13-Jul-2022 08:19:30
0,13-Jul-2022 08:24:30
1,13-Jul-2022 08:29:30
1,13-Jul-2022 08:34:30
1,13-Jul-2022 08:39:30
1,13-Jul-2022 08:44:30
0,13-Jul-2022 08:49:30
0,13-Jul-2022 08:54:30
0,13-Jul-2022 08:59:30
0,13-Jul-2022 09:04:30
0,13-Jul-2022 09:09:30
0,13-Jul-2022 09:14:30
0,13-Jul-2022 09:19:30
0,13-Jul-2022 09:24:30
0,13-Jul-2022 09:29:30
0,13-Jul-2022 09:34:30
0,13-Jul-2022 09:39:30
0,13-Jul-2022 09:44:30
0,13-Jul-2022 09:49:30
0,13-Jul-2022 09:54:30
0,13-Jul-2022 09:59:30
0,13-Jul-2022 10:04:30
0,13-Jul-2022 10:09:30
0,13-Jul-2022 10:14:30
0,13-Jul-2022 10:19:30
0,13-Jul-2022 10:24:30
0,13-Jul-2022 10:29:30
0,13-Jul-2022 10:34:30
0,13-Jul-2022 10:39:30
0,13-Jul-2022 10:44:30
0,13-Jul-2022 10:49:30
0,13-Jul-2022 10:54:30
0,13-Jul-2022 10:59:30
0,13-Jul-2022 11:04:30
0,13-Jul-2022 11:09:30
0,13-Jul-2022 11:14:30
0,13-Jul-2022 11:19:30
0,13-Jul-2022 11:24:30
0,13-Jul-2022 11:29:30
0,13-Jul-2022 11:34:30
0,13-Jul-2022 11:39:30
0,13-Jul-2022 11:44:30
0,13-Jul-2022 11:49:29
0,13-Jul-2022 11:54:30
0,13-Jul-2022 12:04:30
0,13-Jul-2022 12:09:29
0,13-Jul-2022 12:14:30
0,13-Jul-2022 12:19:30
0,13-Jul-2022 12:24:30
0,13-Jul-2022 12:29:30
0,13-Jul-2022 12:34:29
0,13-Jul-2022 12:39:30
0,13-Jul-2022 12:44:30
0,13-Jul-2022 12:49:30
0,13-Jul-2022 12:54:30
0,13-Jul-2022 12:59:30
0,13-Jul-2022 13:04:29
0,13-Jul-2022 13:09:29
0,13-Jul-2022 13:14:30
0,13-Jul-2022 13:19:30
0,13-Jul-2022 13:24:30
0,13-Jul-2022 13:29:30
0,13-Jul-2022 13:34:30
0,13-Jul-2022 13:39:30
0,13-Jul-2022 13:44:30
0,13-Jul-2022 13:49:29
0,13-Jul-2022 13:54:29
0,13-Jul-2022 13:59:30
0,13-Jul-2022 14:04:29
0,13-Jul-2022 14:09:29
0,13-Jul-2022 14:14:29
0,13-Jul-2022 14:19:29
0,13-Jul-2022 14:24:29
0,13-Jul-2022 14:29:29
0,13-Jul-2022 14:34:29
0,13-Jul-2022 14:39:29
0,13-Jul-2022 14:44:29
0,13-Jul-2022 14:49:29
0,13-Jul-2022 14:54:29
0,13-Jul-2022 14:59:29
0,13-Jul-2022 15:04:29
0,13-Jul-2022 15:09:29
0,13-Jul-2022 15:14:29
0,13-Jul-2022 15:19:29
0,13-Jul-2022 15:24:29
0,13-Jul-2022 15:29:29
0,13-Jul-2022 15:34:29
0,13-Jul-2022 15:39:29
0,13-Jul-2022 15:44:29
0,13-Jul-2022 15:49:29
0,13-Jul-2022 15:54:29
0,13-Jul-2022 15:59:29
0,13-Jul-2022 16:04:29
0,13-Jul-2022 16:09:29
0,13-Jul-2022 16:14:29
0,13-Jul-2022 16:19:29
0,13-Jul-2022 16:24:29
0,13-Jul-2022 16:29:29
0,13-Jul-2022 16:34:29
0,13-Jul-2022 16:39:29
0,13-Jul-2022 16:44:29
0,13-Jul-2022 16:49:29
0,13-Jul-2022 16:54:29
0,13-Jul-2022 16:59:29
0,13-Jul-2022 17:04:29
0,13-Jul-2022 17:09:29
0,13-Jul-2022 17:14:29
0,13-Jul-2022 17:19:29
0,13-Jul-2022 17:24:29
0,13-Jul-2022 17:29:29
0,13-Jul-2022 17:34:29
0,13-Jul-2022 17:39:29
0,13-Jul-2022 17:44:29
0,13-Jul-2022 17:49:29
0,13-Jul-2022 17:54:29
0,13-Jul-2022 17:59:29
0,13-Jul-2022 18:04:29
0,13-Jul-2022 18:09:29
0,13-Jul-2022 18:14:29
0,13-Jul-2022 18:19:29
0,13-Jul-2022 18:24:29
0,13-Jul-2022 18:29:29
0,13-Jul-2022 18:34:29
0,13-Jul-2022 18:39:29
0,13-Jul-2022 18:44:29
0,13-Jul-2022 18:49:29
0,13-Jul-2022 18:54:29
0,13-Jul-2022 18:59:29
0,13-Jul-2022 19:04:29
0,13-Jul-2022 19:09:29
0,13-Jul-2022 19:14:29
0,13-Jul-2022 19:19:29
0,13-Jul-2022 19:24:29
0,13-Jul-2022 19:29:29
0,13-Jul-2022 19:34:29
0,13-Jul-2022 19:39:29
0,13-Jul-2022 19:44:29
0,13-Jul-2022 19:49:29
0,13-Jul-2022 19:54:29
