Timestamp,Soil Moisture (%),Temperature (C),Humidity (%),VPD (kPa),Wind Speed (km/h),Decision,Confidence (%),Reason,Duration (s)
2026-05-26 02:43:44,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:43:49,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:43:56,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:44:04,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:44:11,82.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 82.0%). No immediate watering needed.,0
2026-05-26 02:44:18,82.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 82.0%). No immediate watering needed.,0
2026-05-26 02:44:23,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:44:31,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:44:38,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:44:43,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:44:48,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:44:54,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:44:59,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:45:04,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:45:11,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:45:16,82.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 82.0%). No immediate watering needed.,0
2026-05-26 02:45:24,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:45:31,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:45:38,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:45:46,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:45:53,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:45:58,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:46:05,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:46:11,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:46:18,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:46:25,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:46:32,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:46:40,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:46:45,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:46:52,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:46:59,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:47:05,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:47:12,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:47:19,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:47:24,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:47:30,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:47:37,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:47:44,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:47:51,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:47:59,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:48:06,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:48:13,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:48:20,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:48:28,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:48:33,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:48:40,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:48:47,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:48:55,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:49:02,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:49:09,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:49:17,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:49:24,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:49:29,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:49:36,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:49:44,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:49:49,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:49:56,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:50:03,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:50:11,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:50:16,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:50:21,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:50:26,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:50:34,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:50:39,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:50:46,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:50:51,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:50:59,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:51:06,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:51:11,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:51:18,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:51:26,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:51:31,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:51:38,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:51:45,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:51:51,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:51:56,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:01,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:06,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:11,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:17,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:22,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:27,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:52:34,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:42,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:52:47,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:52:54,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:53:01,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:53:09,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
